Sujet,Verbe,Complément
Un chat géant,danse,sur un volcan endormi
Ma grand-mère,construit,un robot de cuisine spatial
Un astronaute perdu,invente,une soupe aux étoiles
Le président du club de tricot,parle,à une girafe polie
Une sorcière distraite,transforme,un autobus en citrouille
Un pirate borgne,cherche,des chaussettes propres
Le professeur de maths,explique,les secrets des dauphins
Un dragon enrhumé,souffle,sur une tasse de chocolat chaud
La boulangère du village,cache,des lingots dans les baguettes
Un chien philosophe,récite,des poèmes à la lune
Une mouche hyperactive,compose,une symphonie pour orchestre
Un vampire végétarien,mange,des carottes fluorescentes
Le facteur du futur,livre,des colis invisibles
Une princesse têtue,grimpe,sur un gratte-ciel en carton
Un fantôme maladroit,renverse,une marmite de confiture
Le roi des sushis,organise,une course de tortues
Un singe en smoking,dirige,un orchestre de casseroles
Une grenouille savante,discute,avec des fourmis révolutionnaires
Le pilote d’avion,oublie,son manuel de magie
Un robot poète,rêve,d’un monde sans prises électriques
Une licorne comptable,classe,des nuages en forme de nouilles
Le lutin du wifi,cache,la recette des éclairs arc-en-ciel
Un chevalier en pyjama,combat,un grille-pain qui crache des étincelles
La capitaine des canards,cartographie,le royaume des baignoires perdues
Un ogre minuscule,réclame,un château avec une porte pour souris
La fée des chaussettes,enchante,un panier à linge très susceptible
Un mage amateur,convoque,une pluie de confettis sur la Lune
Le hamster cosmique,pilote,un vaisseau en forme de croissant
Une sirène rockeuse,accorde,sa guitare avec les vagues
Le bibliothécaire dragon,garde,un dictionnaire qui raconte des blagues
Un pingouin détective,enquête,sur le mystère du fromage disparu
La reine des patates volantes,déclare,la guerre aux légumes trop sérieux
Un panda insomniaque,regarde,des documentaires sur les oreillers
La reine des moustiques,commande,un gâteau au fromage lunaire
Un cactus bavard,raconte,des histoires à un miroir timide
Le coiffeur des dragons,coupe,les flammes trop longues
Une tortue pressée,réserve,un taxi pour traverser le jardin
Un extraterrestre gourmand,découvre,la recette secrète des frites
La voisine invisible,emprunte,un aspirateur qui chante
Un lapin détective,interroge,une carotte très suspecte
Le gardien du musée,réveille,une statue qui voulait dormir
Une pieuvre informaticienne,programme,huit claviers en même temps
Un cheval mélomane,écoute,du jazz dans une cabine téléphonique
La duchesse des pizzas,collectionne,des boîtes venues du futur
Un ninja maladroit,tombe,dans une piscine remplie de popcorn
Le boulanger cosmique,cuisine,des croissants en apesanteur
Une chèvre astronaute,observe,la Terre avec des jumelles en plastique
Le maire des escargots,inaugure,une autoroute de trois mètres
Une souris magicienne,fait disparaître,le fromage du voisin
Un poisson professeur,enseigne,la natation à des sous-marins
Le plombier royal,répare,une fontaine qui distribue du chocolat
Une momie sportive,court,un marathon autour de sa pyramide
Un koala espion,photographie,un eucalyptus classé secret
La reine des robots,organise,un bal pour grille-pains célibataires
Un hibou DJ,mixe,des chansons pour animaux nocturnes
Le marchand de nuages,vend,un orage avec garantie
Une abeille architecte,dessine,une ruche en forme de château
Un dinosaure timide,demande,un selfie à une poule
La cuisinière pirate,prépare,une soupe au trésor
Un renard élégant,porte,un chapeau beaucoup trop grand
La princesse des fantômes,invite,des zombies à prendre le thé
Un ordinateur jaloux,efface,les photos du nouveau téléphone
Un lama scientifique,teste,une machine à fabriquer des arcs-en-ciel
Le chevalier du dimanche,protège,un royaume de coussins
Une poule astronaute,pond,un œuf sur Mars
Un ours miniature,conduit,un camion rempli de miel
La sorcière du quartier,répare,son balai avec du ruban adhésif
Un crocodile chanteur,donne,un concert au fond d’une baignoire
Le serveur robot,renverse,un café sur son propre chargeur
Une mouette voleuse,cache,des lunettes de soleil dans son nid
Un escargot champion,gagne,une course contre une plante verte
Le roi des parapluies,interdit,la pluie pendant les vacances
Une girafe mécanicienne,répare,une trottinette pour hamster
Un poulpe peintre,décore,les murs d’un sous-marin
Le fantôme du grenier,collectionne,des chaussons abandonnés
Une vache cosmique,saute,au-dessus d’une planète miniature
Le détective en chaussons,recherche,le propriétaire d’une moustache
Un singe programmeur,corrige,un bug dans une banane connectée
La fée du café,réveille,les habitants d’un château endormi
Un serpent frileux,commande,un pull de huit mètres
Le roi des pigeons,prononce,un discours depuis une statue
Une licorne punk,peint,sa crinière avec des couleurs fluorescentes
Le jardinier du futur,plante,des antennes à la place des fleurs
Un zombie végétalien,cultive,des salades dans un cimetière
La détective des nuages,recherche,un arc-en-ciel disparu
Un robot amoureux,écrit,une lettre à une machine à café
Une grenouille pirate,enterre,un trésor sous un nénuphar
Le professeur des monstres,distribue,des devoirs sur les humains
Un écureuil banquier,compte,des noisettes dans un coffre-fort
La reine des licornes,interdit,les lundis matin dans son royaume
Un canard programmeur,débogue,un site internet sous la pluie
Le sorcier du métro,transforme,un ticket en dragon miniature
