record_type,id,category,title,objective,priority,status,details
project,project_name,Projet,name,Francis Arcade,,,
project,project_version,Projet,version,1.1,,,
project,project_type,Projet,type,WebApp / PWA Arcade,,,
project,project_objective,Projet,objective,"Faire évoluer Francis Arcade vers une plateforme arcade qualitative, cohérente, responsive, ludique, maintenable, évolutive et prête pour une mise en ligne publique.",,,
project,project_main_branch,Projet,main_branch,main,,,
label,critical,Label,🔴 Critique,,,,"{""id"": ""critical"", ""name"": ""Critique"", ""icon"": ""🔴""}"
label,important,Label,🟠 Important,,,,"{""id"": ""important"", ""name"": ""Important"", ""icon"": ""🟠""}"
label,uxui,Label,🟡 UX/UI,,,,"{""id"": ""uxui"", ""name"": ""UX/UI"", ""icon"": ""🟡""}"
label,improvement,Label,🟢 Amélioration,,,,"{""id"": ""improvement"", ""name"": ""Amélioration"", ""icon"": ""🟢""}"
label,mobile_pwa,Label,🔵 Mobile/PWA,,,,"{""id"": ""mobile_pwa"", ""name"": ""Mobile/PWA"", ""icon"": ""🔵""}"
label,backend,Label,🟣 Backend,,,,"{""id"": ""backend"", ""name"": ""Backend"", ""icon"": ""🟣""}"
label,coins,Label,🪙 Coins/Économie,,,,"{""id"": ""coins"", ""name"": ""Coins/Économie"", ""icon"": ""🪙""}"
label,games,Label,🎮 Jeux,,,,"{""id"": ""games"", ""name"": ""Jeux"", ""icon"": ""🎮""}"
label,future,Label,🔮 Future,,,,"{""id"": ""future"", ""name"": ""Future"", ""icon"": ""🔮""}"
audit_item,UX-001,UX/UI,Audit UX/UI globale,Vérifier si le site donne une impression réellement professionnelle.,importante,a_faire,"{""checklist"": [""Navigation claire"", ""Hiérarchie visuelle"", ""Cohérence des boutons"", ""Menus et modales"", ""Lisibilité des textes"", ""Surcharge visuelle éventuelle"", ""Cohérence des couleurs"", ""Cohérence entre index et jeux"", ""Animations utiles et non gênantes"", ""Première impression utilisateur""]}"
audit_item,RESP-001,Responsive,Desktop / Tablette / Mobile,Garantir une expérience cohérente sur tous les écrans.,critique,a_faire,"{""checklist"": [""Desktop"", ""Tablette"", ""Smartphone"", ""Portrait / paysage"", ""Tailles des boutons"", ""Zones tactiles"", ""Scroll horizontal involontaire"", ""Modales trop grandes"", ""Textes trop petits"", ""Grilles de jeux"", ""Menus mobiles"", ""Interactions tactiles""]}"
audit_item,ACC-001,Accessibilité,Accessibilité générale,Rendre le site lisible et utilisable par davantage d’utilisateurs.,importante,a_faire,"{""checklist"": [""Contraste"", ""Focus clavier"", ""Navigation clavier"", ""Labels de formulaires"", ""Tailles de texte"", ""États hover / focus / disabled"", ""Utilisation sans son"", ""Réduction des animations""]}"
audit_item,PERF-001,Performance,Performance globale,Réduire les lenteurs et ressources inutiles.,importante,a_faire,"{""checklist"": [""Poids des images"", ""Scripts inutiles"", ""CSS dupliqué"", ""Temps de chargement"", ""Animations coûteuses"", ""Cache"", ""Service Worker"", ""PWA"", ""Erreurs console"", ""Ressources inutilisées""]}"
audit_item,ARCH-001,Architecture,Structure HTML / CSS / JS,Rendre le projet plus maintenable.,importante,a_faire,"{""checklist"": [""Structure des dossiers"", ""Séparation des responsabilités"", ""Fichiers trop volumineux"", ""Code dupliqué"", ""Fonctions réutilisables"", ""Configuration centralisée"", ""Chemins cassés"", ""Imports incorrects"", ""Anciennes ressources inutilisées""]}"
audit_item,BUG-001,Qualité,Bugs bloquants,Supprimer les problèmes bloquants avant production.,critique,a_faire,"{""checklist"": [""Erreurs JavaScript"", ""Erreurs console"", ""Jeux impossibles à lancer"", ""Navigation cassée"", ""Boutons sans action"", ""Ressources 404"", ""Sauvegardes corrompues"", ""Incohérences mobile / desktop""]}"
